date,pattern,signal_time,entry_time,entry,sl,tp,pnl_r,exit_reason,exit_time
2026-02-04,D_FIRST_PULLBACK,2026-02-04 04:45:00+00:00,2026-02-04 05:00:00+00:00,25337.5,25303.75,25438.75,0.0,BE_HIT,2026-02-04 07:15:00+00:00
2026-02-05,D_FIRST_PULLBACK,2026-02-05 03:30:00+00:00,2026-02-05 03:45:00+00:00,24911.12,24813.75,25203.23,-1.0,SL_HIT,2026-02-05 11:15:00+00:00
2026-02-06,D_FIRST_PULLBACK,2026-02-06 02:00:00+00:00,2026-02-06 02:15:00+00:00,24437.15,24412.15,24512.15,-1.0,SL_HIT,2026-02-06 02:30:00+00:00
2026-02-06,D_FIRST_PULLBACK,2026-02-06 07:00:00+00:00,2026-02-06 07:15:00+00:00,24474.07,24392.32,24719.32,3.0,TP_HIT,2026-02-06 10:00:00+00:00
2026-02-09,D_FIRST_PULLBACK,2026-02-09 04:15:00+00:00,2026-02-09 04:30:00+00:00,25117.97,25085.72,25214.72,-1.0,SL_HIT,2026-02-09 05:00:00+00:00
2026-02-09,D_FIRST_PULLBACK,2026-02-09 11:00:00+00:00,2026-02-09 11:15:00+00:00,25003.39,24924.39,25240.39,-1.0,SL_HIT,2026-02-09 13:30:00+00:00
2026-02-10,D_FIRST_PULLBACK,2026-02-10 00:45:00+00:00,2026-02-10 01:00:00+00:00,25245.8,25211.3,25349.3,-1.0,SL_HIT,2026-02-10 01:30:00+00:00
2026-02-10,D_FIRST_PULLBACK,2026-02-10 04:30:00+00:00,2026-02-10 04:45:00+00:00,25248.3,25222.68,25325.16,-1.0,SL_HIT,2026-02-10 05:15:00+00:00
2026-02-10,D_FIRST_PULLBACK,2026-02-10 08:00:00+00:00,2026-02-10 08:15:00+00:00,25288.98,25237.23,25444.23,-1.0,SL_HIT,2026-02-10 12:00:00+00:00
2026-02-11,D_FIRST_PULLBACK,2026-02-11 02:30:00+00:00,2026-02-11 02:45:00+00:00,25247.08,25216.7,25338.22,-1.0,SL_HIT,2026-02-11 03:30:00+00:00
2026-02-11,D_FIRST_PULLBACK,2026-02-11 07:30:00+00:00,2026-02-11 07:45:00+00:00,25171.63,25123.75,25315.27,-1.0,SL_HIT,2026-02-11 08:30:00+00:00
2026-02-11,D_FIRST_PULLBACK,2026-02-11 10:00:00+00:00,2026-02-11 10:15:00+00:00,25130.5,25080.38,25280.86,3.0,TP_HIT,2026-02-11 12:45:00+00:00
2026-02-12,D_FIRST_PULLBACK,2026-02-12 02:30:00+00:00,2026-02-12 02:45:00+00:00,25237.05,25198.8,25351.8,0.0,BE_HIT,2026-02-12 13:30:00+00:00
2026-02-13,D_FIRST_PULLBACK,2026-02-13 01:00:00+00:00,2026-02-13 01:15:00+00:00,24735.98,24681.73,24898.73,-1.0,SL_HIT,2026-02-13 02:45:00+00:00
2026-02-13,D_FIRST_PULLBACK,2026-02-13 05:45:00+00:00,2026-02-13 06:00:00+00:00,24630.11,24560.61,24838.61,-1.0,SL_HIT,2026-02-13 10:30:00+00:00
2026-02-13,D_FIRST_PULLBACK,2026-02-13 11:30:00+00:00,2026-02-13 11:45:00+00:00,24640.03,24588.53,24794.53,-1.0,SL_HIT,2026-02-13 12:00:00+00:00
2026-02-13,D_FIRST_PULLBACK,2026-02-13 12:30:00+00:00,2026-02-13 12:45:00+00:00,24691.78,24538.16,25152.64,-1.0,SL_HIT,2026-02-13 13:30:00+00:00
2026-02-16,B_FLAT_TOP,2026-02-16 00:45:00+00:00,2026-02-16 00:45:00+00:00,24786.82,24649.20465,25199.66605,-1.0,SL_HIT,2026-02-16 13:30:00+00:00
2026-02-17,D_FIRST_PULLBACK,2026-02-17 05:45:00+00:00,2026-02-17 06:00:00+00:00,24557.77,24531.02,24638.02,-1.0,SL_HIT,2026-02-17 06:15:00+00:00
2026-02-17,D_FIRST_PULLBACK,2026-02-17 06:30:00+00:00,2026-02-17 06:45:00+00:00,24556.07,24513.2,24684.68,0.0,BE_HIT,2026-02-17 07:45:00+00:00
2026-02-18,D_FIRST_PULLBACK,2026-02-18 00:45:00+00:00,2026-02-18 01:00:00+00:00,24675.79,24642.29,24776.29,3.0,TP_HIT,2026-02-18 05:45:00+00:00
2026-02-18,D_FIRST_PULLBACK,2026-02-18 06:30:00+00:00,2026-02-18 06:45:00+00:00,24770.84,24733.84,24881.84,3.0,TP_HIT,2026-02-18 11:00:00+00:00
2026-02-19,D_FIRST_PULLBACK,2026-02-19 00:45:00+00:00,2026-02-19 01:00:00+00:00,24903.83,24868.7,25009.22,0.0,BE_HIT,2026-02-19 07:45:00+00:00
2026-02-19,D_FIRST_PULLBACK,2026-02-19 11:15:00+00:00,2026-02-19 11:30:00+00:00,24811.0,24745.75,25006.75,-1.0,SL_HIT,2026-02-19 12:15:00+00:00
2026-02-20,D_FIRST_PULLBACK,2026-02-20 02:00:00+00:00,2026-02-20 02:15:00+00:00,24838.3,24812.42,24915.94,3.0,TP_HIT,2026-02-20 08:15:00+00:00
2026-02-23,D_FIRST_PULLBACK,2026-02-23 02:45:00+00:00,2026-02-23 03:00:00+00:00,24784.96,24756.34,24870.82,-1.0,SL_HIT,2026-02-23 03:30:00+00:00
2026-02-23,D_FIRST_PULLBACK,2026-02-23 05:45:00+00:00,2026-02-23 06:00:00+00:00,24810.71,24784.84,24888.32,3.0,TP_HIT,2026-02-23 08:00:00+00:00
2026-02-24,D_FIRST_PULLBACK,2026-02-24 08:00:00+00:00,2026-02-24 08:15:00+00:00,24783.37,24707.25,25011.73,-1.0,SL_HIT,2026-02-24 13:30:00+00:00
2026-02-25,D_FIRST_PULLBACK,2026-02-25 09:30:00+00:00,2026-02-25 09:45:00+00:00,25037.04,25014.79,25103.79,3.0,TP_HIT,2026-02-25 12:45:00+00:00
2026-02-26,D_FIRST_PULLBACK,2026-02-26 07:15:00+00:00,2026-02-26 07:30:00+00:00,25323.26,25296.39,25403.87,-1.0,SL_HIT,2026-02-26 07:45:00+00:00
2026-02-26,D_FIRST_PULLBACK,2026-02-26 08:00:00+00:00,2026-02-26 08:15:00+00:00,25324.39,25295.64,25410.64,-1.0,SL_HIT,2026-02-26 13:30:00+00:00
2026-02-27,D_FIRST_PULLBACK,2026-02-27 01:00:00+00:00,2026-02-27 01:15:00+00:00,24950.3,24923.05,25032.05,0.0,BE_HIT,2026-02-27 05:15:00+00:00
2026-03-02,D_FIRST_PULLBACK,2026-03-02 07:30:00+00:00,2026-03-02 07:45:00+00:00,24516.47,24438.97,24748.97,3.0,TP_HIT,2026-03-02 13:30:00+00:00
2026-03-03,D_FIRST_PULLBACK,2026-03-03 02:30:00+00:00,2026-03-03 02:45:00+00:00,24827.52,24768.77,25003.77,-1.0,SL_HIT,2026-03-03 03:15:00+00:00
2026-03-03,D_FIRST_PULLBACK,2026-03-03 10:30:00+00:00,2026-03-03 10:45:00+00:00,24462.07,24334.82,24843.82,-1.0,SL_HIT,2026-03-03 14:15:00+00:00
2026-03-04,D_FIRST_PULLBACK,2026-03-04 05:30:00+00:00,2026-03-04 05:45:00+00:00,24538.75,24465.63,24758.11,3.0,TP_HIT,2026-03-04 09:00:00+00:00
2026-03-05,D_FIRST_PULLBACK,2026-03-05 09:00:00+00:00,2026-03-05 09:15:00+00:00,25085.14,25049.76,25191.28,-1.0,SL_HIT,2026-03-05 11:00:00+00:00
2026-03-05,D_FIRST_PULLBACK,2026-03-05 11:15:00+00:00,2026-03-05 11:30:00+00:00,25085.89,25046.39,25204.39,-1.0,SL_HIT,2026-03-05 11:45:00+00:00
2026-03-06,D_FIRST_PULLBACK,2026-03-06 01:00:00+00:00,2026-03-06 01:15:00+00:00,25069.37,25008.24,25252.76,-1.0,SL_HIT,2026-03-06 07:15:00+00:00
2026-03-06,D_FIRST_PULLBACK,2026-03-06 10:15:00+00:00,2026-03-06 10:30:00+00:00,24914.04,24854.42,25092.9,-1.0,SL_HIT,2026-03-06 10:45:00+00:00
2026-03-09,D_FIRST_PULLBACK,2026-03-09 04:00:00+00:00,2026-03-09 04:15:00+00:00,24085.43,24052.43,24184.43,3.0,TP_HIT,2026-03-09 05:30:00+00:00
2026-03-09,D_FIRST_PULLBACK,2026-03-09 07:00:00+00:00,2026-03-09 07:15:00+00:00,24241.98,24185.61,24411.09,3.0,TP_HIT,2026-03-09 09:30:00+00:00
2026-03-09,D_FIRST_PULLBACK,2026-03-09 11:30:00+00:00,2026-03-09 11:45:00+00:00,24364.48,24325.23,24482.23,0.0,BE_HIT,2026-03-09 13:30:00+00:00
2026-03-10,D_FIRST_PULLBACK,2026-03-10 07:00:00+00:00,2026-03-10 07:15:00+00:00,24967.52,24917.89,25116.41,3.0,TP_HIT,2026-03-10 08:00:00+00:00
2026-03-11,D_FIRST_PULLBACK,2026-03-11 01:00:00+00:00,2026-03-11 01:15:00+00:00,25055.99,25031.24,25130.24,-1.0,SL_HIT,2026-03-11 05:30:00+00:00
2026-03-11,D_FIRST_PULLBACK,2026-03-11 10:15:00+00:00,2026-03-11 10:30:00+00:00,24955.79,24875.42,25196.9,0.0,BE_HIT,2026-03-11 14:30:00+00:00
2026-03-12,D_FIRST_PULLBACK,2026-03-12 01:15:00+00:00,2026-03-12 01:30:00+00:00,24801.26,24752.88,24946.4,-1.0,SL_HIT,2026-03-12 02:15:00+00:00
2026-03-12,D_FIRST_PULLBACK,2026-03-12 05:00:00+00:00,2026-03-12 05:15:00+00:00,24744.51,24692.26,24901.26,3.0,TP_HIT,2026-03-12 09:45:00+00:00
2026-03-12,D_FIRST_PULLBACK,2026-03-12 11:30:00+00:00,2026-03-12 11:45:00+00:00,24893.43,24830.56,25082.04,-1.0,SL_HIT,2026-03-12 12:00:00+00:00
2026-03-13,D_FIRST_PULLBACK,2026-03-13 01:00:00+00:00,2026-03-13 01:15:00+00:00,24629.11,24588.24,24751.72,-1.0,SL_HIT,2026-03-13 02:30:00+00:00
2026-03-13,D_FIRST_PULLBACK,2026-03-13 09:45:00+00:00,2026-03-13 10:00:00+00:00,24514.16,24493.29,24576.77,3.0,TP_HIT,2026-03-13 10:15:00+00:00
2026-03-13,D_FIRST_PULLBACK,2026-03-13 10:45:00+00:00,2026-03-13 11:00:00+00:00,24601.16,24551.41,24750.41,0.0,BE_HIT,2026-03-13 13:30:00+00:00
2026-03-16,D_FIRST_PULLBACK,2026-03-16 00:45:00+00:00,2026-03-16 01:00:00+00:00,24502.07,24477.32,24576.32,-1.0,SL_HIT,2026-03-16 01:30:00+00:00
2026-03-16,D_FIRST_PULLBACK,2026-03-16 01:45:00+00:00,2026-03-16 02:00:00+00:00,24506.57,24460.94,24643.46,3.0,TP_HIT,2026-03-16 12:00:00+00:00
2026-03-17,D_FIRST_PULLBACK,2026-03-17 07:15:00+00:00,2026-03-17 07:30:00+00:00,24576.05,24519.42,24745.94,3.0,TP_HIT,2026-03-17 13:00:00+00:00
2026-03-18,D_FIRST_PULLBACK,2026-03-18 02:00:00+00:00,2026-03-18 02:15:00+00:00,24883.41,24857.54,24961.02,3.0,TP_HIT,2026-03-18 06:00:00+00:00
2026-03-18,D_FIRST_PULLBACK,2026-03-18 09:15:00+00:00,2026-03-18 09:30:00+00:00,24961.84,24935.34,25041.34,-1.0,SL_HIT,2026-03-18 11:00:00+00:00
2026-03-19,D_FIRST_PULLBACK,2026-03-19 02:15:00+00:00,2026-03-19 02:30:00+00:00,24474.85,24380.23,24758.71,-1.0,SL_HIT,2026-03-19 05:30:00+00:00
2026-03-19,D_FIRST_PULLBACK,2026-03-19 09:00:00+00:00,2026-03-19 09:15:00+00:00,24350.15,24285.4,24544.4,-1.0,SL_HIT,2026-03-19 12:00:00+00:00
2026-03-20,D_FIRST_PULLBACK,2026-03-20 12:00:00+00:00,2026-03-20 12:15:00+00:00,24256.1,24191.85,24448.85,-1.0,SL_HIT,2026-03-20 13:30:00+00:00
2026-03-23,D_FIRST_PULLBACK,2026-03-23 01:15:00+00:00,2026-03-23 01:30:00+00:00,23818.11,23725.23,24096.75,-1.0,SL_HIT,2026-03-23 05:45:00+00:00
2026-03-23,D_FIRST_PULLBACK,2026-03-23 11:00:00+00:00,2026-03-23 11:15:00+00:00,24510.66,23604.16,27230.16,0.0,EOD,2026-03-23 23:45:00+00:00
2026-03-24,D_FIRST_PULLBACK,2026-03-24 03:15:00+00:00,2026-03-24 03:30:00+00:00,24064.89,24025.77,24182.25,-1.0,SL_HIT,2026-03-24 05:00:00+00:00
2026-03-25,D_FIRST_PULLBACK,2026-03-25 03:30:00+00:00,2026-03-25 03:45:00+00:00,24151.87,24114.37,24264.37,3.0,TP_HIT,2026-03-25 08:00:00+00:00
2026-03-25,D_FIRST_PULLBACK,2026-03-25 11:00:00+00:00,2026-03-25 11:15:00+00:00,24266.42,24220.29,24404.81,-1.0,SL_HIT,2026-03-25 12:15:00+00:00
2026-03-27,D_FIRST_PULLBACK,2026-03-27 06:15:00+00:00,2026-03-27 06:30:00+00:00,23744.67,23709.87,23849.07,-1.0,SL_HIT,2026-03-27 06:45:00+00:00
2026-03-30,D_FIRST_PULLBACK,2026-03-30 01:00:00+00:00,2026-03-30 01:15:00+00:00,22969.03,22935.9,23068.42,3.0,TP_HIT,2026-03-30 02:45:00+00:00
2026-03-30,D_FIRST_PULLBACK,2026-03-30 04:00:00+00:00,2026-03-30 04:15:00+00:00,23110.4,23086.65,23181.65,3.0,TP_HIT,2026-03-30 06:15:00+00:00
2026-03-30,D_FIRST_PULLBACK,2026-03-30 07:45:00+00:00,2026-03-30 08:00:00+00:00,23204.33,23167.33,23315.33,3.0,TP_HIT,2026-03-30 11:15:00+00:00
2026-03-30,D_FIRST_PULLBACK,2026-03-30 12:15:00+00:00,2026-03-30 12:30:00+00:00,23308.08,23245.08,23497.08,-1.0,SL_HIT,2026-03-30 13:30:00+00:00
2026-03-31,D_FIRST_PULLBACK,2026-03-31 02:15:00+00:00,2026-03-31 02:30:00+00:00,23157.47,23132.22,23233.22,0.0,BE_HIT,2026-03-31 02:45:00+00:00
2026-03-31,D_FIRST_PULLBACK,2026-03-31 06:15:00+00:00,2026-03-31 06:30:00+00:00,23098.39,23075.77,23166.25,-1.0,SL_HIT,2026-03-31 06:45:00+00:00
2026-03-31,D_FIRST_PULLBACK,2026-03-31 07:30:00+00:00,2026-03-31 07:45:00+00:00,23146.77,23047.77,23443.77,-1.0,SL_HIT,2026-03-31 10:30:00+00:00
2026-03-31,D_FIRST_PULLBACK,2026-03-31 12:30:00+00:00,2026-03-31 12:45:00+00:00,23230.27,23121.27,23557.27,3.0,TP_HIT,2026-03-31 16:30:00+00:00
2026-04-01,D_FIRST_PULLBACK,2026-04-01 00:45:00+00:00,2026-04-01 01:00:00+00:00,23846.66,23803.16,23977.16,-1.0,SL_HIT,2026-04-01 01:15:00+00:00
2026-04-01,D_FIRST_PULLBACK,2026-04-01 04:30:00+00:00,2026-04-01 04:45:00+00:00,23818.54,23789.54,23905.54,3.0,TP_HIT,2026-04-01 06:15:00+00:00
2026-04-01,D_FIRST_PULLBACK,2026-04-01 07:30:00+00:00,2026-04-01 07:45:00+00:00,23977.59,23942.21,24083.73,-1.0,SL_HIT,2026-04-01 08:00:00+00:00
2026-04-02,D_FIRST_PULLBACK,2026-04-02 00:45:00+00:00,2026-04-02 01:00:00+00:00,24047.28,23966.03,24291.03,-1.0,SL_HIT,2026-04-02 01:15:00+00:00
2026-04-02,D_FIRST_PULLBACK,2026-04-02 07:30:00+00:00,2026-04-02 07:45:00+00:00,23653.71,23607.08,23793.6,-1.0,SL_HIT,2026-04-02 10:00:00+00:00
2026-04-03,D_FIRST_PULLBACK,2026-04-03 05:30:00+00:00,2026-04-03 05:45:00+00:00,24002.33,23973.58,24088.58,-1.0,SL_HIT,2026-04-03 06:30:00+00:00
