setup_id,symbol,direction,setup_time,entry_time,entry_price,sl,tp,planned_rr,exit_time,exit_price,exit_reason,pnl_r,rectangle_size_points,ai_score
EURUSD_2026-04-27T18:45:00_LONG,EURUSD,buy,2026-04-27T18:45:00,2026-04-27T18:46:00,1.17435,1.17332,1.1774400000000003,3.0,2026-04-27T20:02:00,1.17332,SL_HIT,-1.0,42.999999999993044,100
EURUSD_2026-04-27T19:00:00_LONG,EURUSD,buy,2026-04-27T19:00:00,2026-04-27T19:01:00,1.17381,1.1733399999999998,1.1752200000000006,3.0,2026-04-27T19:56:00,1.1733399999999998,SL_HIT,-1.0,21.00000000000435,100
EURUSD_2026-04-27T19:45:00_LONG,EURUSD,buy,2026-04-27T19:45:00,2026-04-27T19:46:00,1.17444,1.17308,1.17852,3.0,2026-04-27T20:22:00,1.17308,SL_HIT,-1.0,26.999999999999243,100
EURUSD_2026-04-28T02:00:00_LONG,EURUSD,buy,2026-04-28T02:00:00,2026-04-28T02:02:00,1.17218,1.17163,1.1738300000000002,3.0,2026-04-28T06:01:00,1.17163,SL_HIT,-1.0,25.999999999992692,100
EURUSD_2026-04-28T02:30:00_LONG,EURUSD,buy,2026-04-28T02:30:00,2026-04-28T02:31:00,1.1722,1.17163,1.1739099999999998,3.0,2026-04-28T06:01:00,1.17163,SL_HIT,-1.0,29.999999999996692,100
EURUSD_2026-04-28T02:45:00_LONG,EURUSD,buy,2026-04-28T02:45:00,2026-04-28T02:46:00,1.17215,1.17163,1.1737100000000003,3.0,2026-04-28T06:01:00,1.17163,SL_HIT,-1.0,25.999999999992692,100
EURUSD_2026-04-28T05:00:00_SHORT,EURUSD,sell,2026-04-28T05:00:00,2026-04-28T05:15:00,1.17235,1.1729500000000002,1.1705499999999995,3.0,2026-04-28T10:58:00,1.1705499999999995,TP_HIT,3.0,33.00000000001635,100
EURUSD_2026-04-28T10:30:00_LONG,EURUSD,buy,2026-04-28T10:30:00,2026-04-28T10:31:00,1.1712,1.1704899999999998,1.1733300000000007,3.0,2026-04-28T11:00:00,1.1704899999999998,SL_HIT,-1.0,5.000000000010552,100
EURUSD_2026-04-28T17:45:00_SHORT,EURUSD,sell,2026-04-28T17:45:00,2026-04-28T17:46:00,1.16963,1.1702400000000002,1.1677999999999993,3.0,2026-04-28T18:37:00,1.1702400000000002,SL_HIT,-1.0,29.000000000012346,100
EURUSD_2026-04-28T22:45:00_SHORT,EURUSD,sell,2026-04-28T22:45:00,2026-04-28T22:57:00,1.17131,1.17202,1.16918,3.0,2026-04-29T05:04:00,1.17202,SL_HIT,-1.0,39.999999999995595,100
EURUSD_2026-04-29T05:15:00_LONG,EURUSD,buy,2026-04-29T05:15:00,2026-04-29T05:16:00,1.17182,1.1712099999999999,1.1736500000000007,3.0,2026-04-29T06:01:00,1.1712099999999999,SL_HIT,-1.0,11.000000000005448,100
EURUSD_2026-04-29T12:45:00_SHORT,EURUSD,sell,2026-04-29T12:45:00,2026-04-29T12:46:00,1.17051,1.17107,1.1688299999999996,3.0,2026-04-29T18:33:00,1.1688299999999996,TP_HIT,3.0,29.999999999996692,100
EURUSD_2026-04-29T17:45:00_LONG,EURUSD,buy,2026-04-29T17:45:00,2026-04-29T17:46:00,1.17005,1.1690999999999998,1.1729000000000007,3.0,2026-04-29T18:22:00,1.1690999999999998,SL_HIT,-1.0,56.00000000001159,100
EURUSD_2026-04-30T07:15:00_LONG,EURUSD,buy,2026-04-30T07:15:00,2026-04-30T07:16:00,1.16764,1.1667399999999999,1.1703400000000004,3.0,2026-04-30T07:30:00,1.1667399999999999,SL_HIT,-1.0,12.000000000012,100
EURUSD_2026-04-30T09:00:00_LONG,EURUSD,buy,2026-04-30T09:00:00,2026-04-30T09:01:00,1.16645,1.1659899999999999,1.1678300000000004,3.0,2026-04-30T09:26:00,1.1659899999999999,SL_HIT,-1.0,19.999999999997797,100
EURUSD_2026-04-30T11:00:00_SHORT,EURUSD,sell,2026-04-30T11:00:00,2026-04-30T11:01:00,1.16604,1.1667800000000002,1.1638199999999994,3.0,2026-04-30T11:32:00,1.1667800000000002,SL_HIT,-1.0,46.00000000001269,100
EURUSD_2026-04-30T21:45:00_LONG,EURUSD,buy,2026-04-30T21:45:00,2026-04-30T21:46:00,1.17258,1.1720499999999998,1.1741700000000004,3.0,2026-05-01T11:21:00,1.1720499999999998,SL_HIT,-1.0,25.000000000008345,100
EURUSD_2026-04-30T23:15:00_SHORT,EURUSD,sell,2026-04-30T23:15:00,2026-04-30T23:16:00,1.17272,1.1735200000000001,1.1703199999999996,3.0,2026-04-30T23:40:00,1.1735200000000001,SL_HIT,-1.0,31.000000000003244,100
EURUSD_2026-05-01T02:15:00_LONG,EURUSD,buy,2026-05-01T02:15:00,2026-05-01T02:16:00,1.17343,1.17261,1.17589,3.0,2026-05-01T05:13:00,1.17261,SL_HIT,-1.0,18.999999999991246,100
EURUSD_2026-05-01T07:00:00_SHORT,EURUSD,sell,2026-05-01T07:00:00,2026-05-01T07:01:00,1.1731,1.1736600000000001,1.1714199999999997,3.0,2026-05-01T11:49:00,1.1736600000000001,SL_HIT,-1.0,12.999999999996346,100
EURUSD_2026-05-01T11:45:00_SHORT,EURUSD,sell,2026-05-01T11:45:00,2026-05-01T11:46:00,1.17266,1.1747500000000002,1.1663899999999996,3.0,2026-05-01T13:27:00,1.1747500000000002,SL_HIT,-1.0,95.00000000000063,100
EURUSD_2026-05-01T13:15:00_SHORT,EURUSD,sell,2026-05-01T13:15:00,2026-05-01T13:16:00,1.17356,1.17506,1.1690599999999998,3.0,2026-05-01T16:14:00,1.17506,SL_HIT,-1.0,35.999999999991594,100
EURUSD_2026-05-01T13:30:00_SHORT,EURUSD,sell,2026-05-01T13:30:00,2026-05-01T13:31:00,1.17438,1.175,1.1725199999999998,3.0,2026-05-01T16:14:00,1.175,SL_HIT,-1.0,25.999999999992692,100
EURUSD_2026-05-01T21:30:00_LONG,EURUSD,buy,2026-05-01T21:30:00,2026-05-01T21:31:00,1.17488,1.1739899999999999,1.17755,3.0,2026-05-01T21:56:00,1.1739899999999999,SL_HIT,-1.0,28.000000000005794,100
EURUSD_2026-05-02T00:45:00_LONG,EURUSD,buy,2026-05-02T00:45:00,2026-05-02T00:46:00,1.17206,1.17153,1.1736500000000005,3.0,2026-05-04T02:02:00,1.1736500000000005,TP_HIT,3.0,18.999999999991246,100
EURUSD_2026-05-04T06:00:00_LONG,EURUSD,buy,2026-05-04T06:00:00,2026-05-04T06:01:00,1.17258,1.17176,1.17504,3.0,2026-05-04T12:52:00,1.17176,SL_HIT,-1.0,25.000000000008345,100
EURUSD_2026-05-04T06:15:00_LONG,EURUSD,buy,2026-05-04T06:15:00,2026-05-04T06:16:00,1.17252,1.1718899999999999,1.1744100000000004,3.0,2026-05-04T12:43:00,1.1718899999999999,SL_HIT,-1.0,11.000000000005448,100
EURUSD_2026-05-04T07:45:00_SHORT,EURUSD,sell,2026-05-04T07:45:00,2026-05-04T07:46:00,1.17259,1.1731200000000002,1.1709999999999996,3.0,2026-05-04T08:47:00,1.1731200000000002,SL_HIT,-1.0,12.000000000012,100
EURUSD_2026-05-04T08:00:00_SHORT,EURUSD,sell,2026-05-04T08:00:00,2026-05-04T08:01:00,1.17267,1.17311,1.1713500000000001,3.0,2026-05-04T08:47:00,1.17311,SL_HIT,-1.0,14.000000000002897,100
EURUSD_2026-05-04T12:00:00_LONG,EURUSD,buy,2026-05-04T12:00:00,2026-05-04T12:01:00,1.17277,1.1721199999999998,1.1747200000000009,3.0,2026-05-04T12:28:00,1.1721199999999998,SL_HIT,-1.0,25.000000000008345,100
EURUSD_2026-05-05T01:15:00_LONG,EURUSD,buy,2026-05-05T01:15:00,2026-05-05T01:16:00,1.16906,1.16847,1.1708300000000003,3.0,2026-05-05T06:00:00,1.16847,SL_HIT,-1.0,25.000000000008345,100
EURUSD_2026-05-05T02:00:00_LONG,EURUSD,buy,2026-05-05T02:00:00,2026-05-05T02:03:00,1.16914,1.16844,1.1712400000000005,3.0,2026-05-05T06:00:00,1.16844,SL_HIT,-1.0,35.00000000000725,100
EURUSD_2026-05-05T06:15:00_LONG,EURUSD,buy,2026-05-05T06:15:00,2026-05-05T06:16:00,1.1685,1.1677199999999999,1.1708400000000008,3.0,2026-05-05T09:57:00,1.1677199999999999,SL_HIT,-1.0,21.00000000000435,100
EURUSD_2026-05-05T11:30:00_SHORT,EURUSD,sell,2026-05-05T11:30:00,2026-05-05T11:31:00,1.16859,1.16921,1.1667299999999998,3.0,2026-05-05T12:07:00,1.16921,SL_HIT,-1.0,22.999999999995243,100
