symbol,date,pattern,signal_time,entry_time,entry,sl,tp,rr,exit_reason,pnl_r,exit_time
NAS100,2026-03-19,D_FIRST_PULLBACK,2026-03-19 08:45:00+00:00,2026-03-19 09:00:00+00:00,24325.4,24285.4,24405.4,2.0,SL_HIT,-1.0,2026-03-19 09:15:00+00:00
NAS100,2026-03-19,D_FIRST_PULLBACK,2026-03-19 13:15:00+00:00,2026-03-19 13:30:00+00:00,24207.15,24184.9,24251.65,2.0,SL_HIT,-1.0,2026-03-19 13:45:00+00:00
NAS100,2026-03-19,D_FIRST_PULLBACK,2026-03-19 14:30:00+00:00,2026-03-19 14:45:00+00:00,24247.53,24187.28,24368.03,2.0,SL_HIT,-1.0,2026-03-19 15:30:00+00:00
NAS100,2026-03-19,D_FIRST_PULLBACK,2026-03-19 15:45:00+00:00,2026-03-19 16:00:00+00:00,24252.78,24178.53,24401.28,2.0,SL_HIT,-1.0,2026-03-19 17:00:00+00:00
NAS100,2026-03-19,D_FIRST_PULLBACK,2026-03-19 18:45:00+00:00,2026-03-19 19:00:00+00:00,24288.28,24197.65,24469.54,2.0,EOD,0.0,2026-03-19 23:45:00+00:00
NAS100,2026-03-20,D_FIRST_PULLBACK,2026-03-20 05:15:00+00:00,2026-03-20 05:30:00+00:00,24376.3,24340.55,24447.8,2.0,SL_HIT,-1.0,2026-03-20 06:15:00+00:00
NAS100,2026-03-20,D_FIRST_PULLBACK,2026-03-20 07:15:00+00:00,2026-03-20 07:30:00+00:00,24334.6,24263.72,24476.36,2.0,SL_HIT,-1.0,2026-03-20 09:30:00+00:00
NAS100,2026-03-20,D_FIRST_PULLBACK,2026-03-20 12:00:00+00:00,2026-03-20 12:15:00+00:00,24256.1,24191.85,24384.6,2.0,SL_HIT,-1.0,2026-03-20 13:30:00+00:00
NAS100,2026-03-20,D_FIRST_PULLBACK,2026-03-20 14:30:00+00:00,2026-03-20 14:45:00+00:00,24066.22,24033.85,24130.96,2.0,SL_HIT,-1.0,2026-03-20 15:00:00+00:00
NAS100,2026-03-20,D_FIRST_PULLBACK,2026-03-20 19:45:00+00:00,2026-03-20 20:00:00+00:00,23894.17,23753.22,24176.07,2.0,EOD,0.0,2026-03-20 20:45:00+00:00
NAS100,2026-03-23,D_FIRST_PULLBACK,2026-03-23 01:00:00+00:00,2026-03-23 01:15:00+00:00,23781.73,23725.23,23894.73,2.0,SL_HIT,-1.0,2026-03-23 05:45:00+00:00
NAS100,2026-03-23,D_FIRST_PULLBACK,2026-03-23 07:00:00+00:00,2026-03-23 07:15:00+00:00,23682.28,23615.41,23816.02,2.0,SL_HIT,-1.0,2026-03-23 07:30:00+00:00
NAS100,2026-03-23,D_FIRST_PULLBACK,2026-03-23 10:45:00+00:00,2026-03-23 11:00:00+00:00,23669.41,23604.16,23799.91,2.0,TP_HIT,2.0,2026-03-23 11:15:00+00:00
NAS100,2026-03-23,D_FIRST_PULLBACK,2026-03-23 12:15:00+00:00,2026-03-23 12:30:00+00:00,24297.21,24135.03,24621.57,2.0,SL_HIT,-1.0,2026-03-23 16:15:00+00:00
NAS100,2026-03-23,D_FIRST_PULLBACK,2026-03-23 17:30:00+00:00,2026-03-23 17:45:00+00:00,24203.78,24100.66,24410.02,2.0,EOD,0.0,2026-03-23 23:45:00+00:00
NAS100,2026-03-24,D_FIRST_PULLBACK,2026-03-24 02:15:00+00:00,2026-03-24 02:30:00+00:00,24066.52,24014.39,24170.78,2.0,SL_HIT,-1.0,2026-03-24 05:00:00+00:00
NAS100,2026-03-24,D_FIRST_PULLBACK,2026-03-24 09:30:00+00:00,2026-03-24 09:45:00+00:00,24181.44,24096.07,24352.18,2.0,SL_HIT,-1.0,2026-03-24 11:45:00+00:00
